"","workerid","utterance","response","feedback","orig_obj1","orig_obj2","orig_obj3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3","uttFeat","targetFeat","obj1OC27","obj2OC27","obj3OC27","targetObject","object2","object3"
"148",8,"red",2,"VeryGood",121,312,332,"cloud","striped","blue","square","plain","red","square","dotted","red","pattern","striped","plain","dotted",3,2,4,12,18,12,4,18
"149",8,"circle",2,"VeryGood",323,222,232,"square","striped","green","circle","striped","red","circle","dotted","red","pattern","striped","plain","dotted",1,2,24,14,17,14,24,17
"150",8,"cloud",2,"VeryGood",131,111,322,"cloud","dotted","blue","cloud","plain","blue","square","striped","red","pattern","striped","plain","dotted",1,2,7,1,15,1,7,15
"151",8,"green",1,"Good",213,223,312,"circle","plain","green","circle","striped","green","square","plain","red","pattern","striped","plain","dotted",3,2,20,23,12,20,23,12
"152",8,"blue",1,"VeryGood",311,331,113,"square","plain","blue","square","dotted","blue","cloud","plain","green","pattern","striped","plain","dotted",3,2,3,9,19,3,9,19
"153",8,"green",1,"VeryGood",213,112,233,"circle","plain","green","cloud","plain","red","circle","dotted","green","pattern","striped","plain","dotted",3,2,20,10,26,20,10,26
"154",8,"green",1,"Good",313,323,211,"square","plain","green","square","striped","green","circle","plain","blue","pattern","striped","plain","dotted",3,2,21,24,2,21,24,2
"155",8,"circle",3,"VeryGood",132,233,213,"cloud","dotted","red","circle","dotted","green","circle","plain","green","pattern","striped","plain","dotted",1,2,16,26,20,20,16,26
"156",8,"green",2,"VeryGood",133,113,321,"cloud","dotted","green","cloud","plain","green","square","striped","blue","pattern","striped","plain","dotted",3,2,25,19,6,19,25,6
"157",8,"circle",3,"VeryGood",233,131,213,"circle","dotted","green","cloud","dotted","blue","circle","plain","green","pattern","striped","plain","dotted",1,2,26,7,20,20,26,7
"158",8,"green",3,"Good",311,223,213,"square","plain","blue","circle","striped","green","circle","plain","green","pattern","striped","plain","dotted",3,2,3,23,20,20,3,23
"159",8,"red",3,"Good",121,322,312,"cloud","striped","blue","square","striped","red","square","plain","red","pattern","striped","plain","dotted",3,2,4,15,12,12,4,15
"160",8,"square",2,"VeryGood",332,312,213,"square","dotted","red","square","plain","red","circle","plain","green","pattern","striped","plain","dotted",1,2,18,12,20,12,18,20
"161",9,"plain",2,"Good",123,312,112,"cloud","striped","green","square","plain","red","cloud","plain","red","shape","circle","cloud","square",1,1,22,12,10,12,22,10
"162",9,"red",3,"VeryGood",312,131,112,"square","plain","red","cloud","dotted","blue","cloud","plain","red","shape","circle","cloud","square",3,1,12,7,10,10,12,7
"163",9,"red",1,"Good",322,333,222,"square","striped","red","square","dotted","green","circle","striped","red","shape","circle","cloud","square",3,1,15,27,14,15,27,14
